,IDEA,MAXI,UNIVEREXPORT,TEMPO,DIS,RODA,LIDL
Vodka BARMAN blueberry 330ml,"96,99",-,"107,99","87,99","108,99","96,99",-
Vodka BARMAN original 330ml,"96,99",-,"107,99","87,99","108,99","96,99",-
Vodka ABSOLUT 0.7l,"1.499,99","1.529,00","1.399,99","1.367,00","1.706,99","1.499,99",-
Vodka BALTIC vodka 1l,-,"923,99","844,99","839,99","820,99","849,99",-
Vodka FJODOR 0.7l,-,-,-,-,"689,99",-,-
Vodka JELZIN 700ml,"569,99",-,"630,99","521,99",-,"569,99",-
Vodka KEGLEVICH classic sa poklonom 0.7l,-,-,"1.033,99","999,99","1.069,99",-,-
Vodka KEGLEVICH fruti di bosco 0.7l,"919,99",-,"839,99","829,99","869,99","829,99",-
Vodka KEGLEVICH pena fragola 0.7l,-,-,"1.055,99","999,99",-,-,-
Vodka LUKSUSOWA 0.7l,"579,99","665,99","569,99","615,99","664,99","579,99",-
Vodka SIMEX O5 vodka 700ml,-,-,"533,99",-,"545,99",-,-
Vodka SMIRNOFF red 0.7l,"1.749,99",-,"1.499,99","1.259,00","1.499,99","1.649,99",-
Vodka V 40% 1l,-,-,"708,99","749,99","688,99","749,99",-
Vodka RACHMANINOFF 40% 0.7l,-,-,-,-,-,-,"424,99"
Bombone KRAŠ Kiki malina 100g,"134,99",-,"113,99","115,99","116,99","119,99",-
Bombone CEVITANA mandarina 27g Vitaminka,"23,99",-,-,-,-,"23,99",-
Bombone FISHERMAN'S Mint 25g,"139,99","139,99","121,99","119,99","120,99","119,99",-
Bombone KRAŠ Bronhi original 100g,"134,99","109,99","84,99","109,99","139,99","119,99",-
Bombone KRAŠ Kiki jagoda 100g,"134,99","134,99","113,99","119,99","116,99","129,99",-
Bombone KRAŠ Kiki voćne 100g,"134,99","106,99","127,99","104,99","79,99","129,99","104,99"
Bombone KRAŠ pepermint 100g,"134,99","134,99","84,99","119,99","116,99","119,99",-
Bombone M&M's čokolada 90g,"99,99","146,99","146,99","139,99","137,99","99,99",-
Bombone M&M's kikiriki 90g,"99,99","149,99","146,99","139,99","137,99","99,99",-
Bombone MENTOS Grape 38g,"94,99",-,"77,99","78,99","82,99","78,99",-
Bombone MENTOS Rainbow 37.5g,"94,99",-,"77,99","69,99","82,99","78,99",-
Bombone PIONIR karamela lešnik 100g,"124,99","123,99","119,99","114,99","104,99","117,99",-
Bombone PIONIR Lemon 100g,"74,99",-,"61,99",-,-,-,-
Bombone PIONIR Menthol strong 100g,"67,99","54,99","57,99","39,99",-,"65,99",-
Bombone PIONIR Negro classic 200g,"159,99","219,99","203,99","209,99",-,"159,99",-
Bombone PIONIR Orange 100g,"74,99",-,"61,99",-,-,"64,99",-
Bombone TIC TAC Mint 18g,"69,99",-,"58,99","55,99","56,99","59,99",-
Bombone TOFITA Kupina 47g,"44,99",-,"47,99",-,-,"44,99",-
Bombone VITAMINKA jagoda 27g,"26,99",-,-,-,-,"26,99",-
Bombone VITAMINKA pepermint 27g,"26,99",-,-,-,-,"26,99",-
Dražeje KINDER Schoko-bons 125g,-,-,-,-,-,"294,99",-
Gumene bombone HARIBO Goldbaren 100g,"149,99","149,99","109,99","129,99","99,99","129,99",-
Gumene bombone HARIBO Pfirsiche 100g,"149,99","149,99","109,99","129,99","99,99","129,99",-
Gumene bombone HARIBO WUMMIS 200g,"289,99","289,99","242,99","244,99","245,99","244,99",-
Gumene bombone PIONIR Menthos 100g,"122,99","122,99","106,99","109,99",-,"109,99",-
Čokolada KINDER 100g,"129,99","166,99","166,99","149,99","152,99","129,99",-
Čokolada KRAŠ Dorina keks 80g,"124,99",-,-,"79,00",-,-,-
Čokolada KRAŠ Dorina mlečna 80g,"124,99",-,-,-,"129,99","114,99",-
Čokolada MILKA alpine milk 80g,"134,99","132,99","94,99","119,99","120,99","119,99",-
Čokolada MILKA bela 100g,"179,99","179,99","158,99","114,99","119,99","159,99",-
Čokolada Milka Bubbly white 95g,"179,99",-,"158,99",-,"164,99","159,99",-
Čokolada MILKA coffee cookie 90g,-,-,-,-,-,"159,99",-
Čokolada MILKA grozđice lešnik 100g,"174,99","174,99","158,99","164,99","164,99","164,99",-
Čokolada MILKA lešnik 80g,"134,99","139,99","94,99","119,99","120,99","119,99",-
Čokolada MILKA Noisette 80g,"134,99","132,99","94,99","119,99","120,99","119,99",-
Čokolada MILKA Oreo sendvich 92g,"179,99","179,99","119,99","114,99","119,99","174,99",-
Čokolada MILKA popcorn caramel 90g,-,-,-,-,-,"159,99",-
Čokolada NESTLE Nesquik 100g,-,-,-,-,-,"142,99",-
Čokolada PIONIR Galeb jagoda+jogurt 80g,-,-,-,"109,99",-,-,-
Čokolada PIONIR Galeb mlečna 80g,"122,99","123,99","117,99","114,99",-,"114,99",-
Čokolada PIONIR Galeb noisette 80g,-,-,"125,99","119,99",-,"119,99",-
Čokolada SCHOGETTEN Black & white 100g,"114,99","182,99",-,"179,99","124,99","114,99",-
Čokolada SCHOGETTEN Dark 100g,"114,99",-,"109,99",-,"176,99","114,99",-
Čokolada SCHOGETTEN Noisettes 100g,"114,99","154,99","109,99","153,99","176,99","114,99",-
Čokolada SCHOGETTEN White 100g,-,-,"99,99",-,-,"179,99",-
Čokolada ŠTARK Najlepše želje Jagoda jogurt 100g,"164,99","164,99","147,99",-,"143,99","147,99",-
Čokolada ŠTARK Najlepše želje Keks 90g,"124,99","94,99","125,99","85,00","120,99","119,99",-
Čokolada ŠTARK Najlepše želje mlečna 90g,"119,99","94,99","121,99","85,00","120,99","114,99",-
Čokolada ŠTARK Najlepše želje noisette 90g,"132,99","104,99","121,99","85,00","122,99","119,99",-
Čokolada SWISSLION Eurocrem blok 50g,"64,99","64,99","47,99","53,99","37,99","53,99",-
Čokolada TOBLERONE 100g,"239,99","235,99","225,99","224,99","222,99","229,99",-
Čokolada HEIDI pomorandža 80g,-,"199,99",-,"184,99",-,-,-
Čokolada KINDER 150g,"229,99","229,99","219,99","209,99","215,99","209,99",-
Čokolada PIONIR Galeb mlečna 200g,"269,99","269,99","248,99","230,99",-,"254,99",-
Čokolada PIONIR Mnogo lepih želja 200g,-,-,-,"289,99",-,"289,99",-
Čokolada ŠTARK Najlepše želje Mini Crna 150g,"259,99","290,99","237,99","239,99",-,-,-
Čokolada ŠTARK Najlepše želje mlečna Mini 150g,"254,99","252,99","204,99","237,99",-,-,-
Čokolada SWISSLION Eurocrem blok Farma 140g,-,"194,99","150,99","147,99",-,-,-
Čokolada KRAŠ Dorina riža 220g,-,"299,99","320,99","314,99","369,99","279,99",-
Čokolada MILKA almond truffle 300g,"469,99",-,"427,99","439,99","434,99","439,99",-
Čokolada MILKA celi lešnici 270g,"489,99","489,99","454,99","439,99","439,99","439,99",-
Čokolada MILKA grozđice lešnik 270g,"449,99","449,99",-,"419,99","434,99","419,99",-
Čokolada MILKA Noisette 270g,"449,99","299,00","419,99","294,00","434,99","419,99",-
Čokolada MILKA nut nougat 300g,"469,99",-,"427,99","429,99","434,99","429,99",-
Čokolada MILKA peanut caramel 276g,"489,99",-,"427,99","439,99","434,99","439,99",-
Čokolada MILKA Toffee nuts 300g,"489,99",-,-,-,-,"439,99",-
Čokolada PIONIR Galeb 250g,"439,99",-,"396,99","399,99",-,"399,99",-
Čokolada ŠTARK Najlepše želje Jagoda jogurt 250g,"319,99","389,99",-,"349,99","378,99","319,99",-
Čokolada ŠTARK Najlepše želje Lešnik 250g,"349,99","436,99","407,99","384,99",-,"349,99",-
Čokolada ŠTARK Najlepše želje mlečni krem 250g,"319,99","389,99","383,99","384,99","378,99","319,99",-
Čokolada DELICATA crna 200g,-,"214,99",-,"204,99",-,-,-
Bela čokolada KANDIT Dessert chef 200g,"229,99","219,99","159,99","204,99","220,99","204,99",-
Čokolada KANDIT Dessert chef 100g,"119,99",-,-,-,"135,99","109,99",-
Čokolada KANDIT Dessert chef 300g,"329,99","329,99","300,99","299,99","304,99","299,99",-
Čokolada PIONIR za kuvanje 200g,"219,99","219,99","207,99","212,99",-,"212,99",-
Čokolada ŠTARK Menaž čoko komadići za kuvanje beli 120g,"209,99","209,99","174,99","189,99","164,99","189,99",-
Čokolada ŠTARK Menaž za kuvanje 200g,"179,99","169,00","193,99","159,00","216,99","179,99",-
Kakao krem SL za kolače 200g,-,-,"150,99","149,99","201,99","189,99",-
Čokolada ŠTARK Bananica 125g,"94,99","94,99","91,99","89,99","94,99","89,99",-
Čokoladica BANINI kokos kasato 120g,"64,99","79,99","71,99","74,99","64,99","64,99",-
Čokoladica BOUNTY 57g,"59,99","59,99","79,99","54,99","68,99","59,99",-
Čokoladica CIPIRIPI 80g,"72,99","72,99","64,99","69,99","62,99","69,99",-
Čokoladica KINDER bueno white 39g,"99,99","99,99","74,99","94,99","97,99","94,99",-
Čokoladica KRAŠ Životinjsko carstvo 15g,"34,99","40,99","49,99","39,99","52,99","34,99","39,99"
Čokoladica MARS 51g,"65,99","65,99","49,99","59,99","49,99","52,99",-
Čokoladica NESTLE Lion beli 42g,"45,99","36,99","49,99","34,99","44,99","45,99",-
Čokoladica PIONIR Kesten desert 30g,"53,99","49,99","48,99","44,99",-,"47,99",-
Čokoladica PIONIR Kidy Mlecna 30g,"47,99","42,99","44,99","37,99","39,99","39,99",-
Čokoladica SNICKERS 50g,"65,99","65,99","49,99","58,99","49,99","52,99",-
Čokoladica ŠTARK Bananica 150g,"109,99","109,99","105,99","99,99","102,99","99,99",-
Čokoladica ŠTARK Bananica 25g,"15,99","19,99","16,99","19,99","21,99","15,99",-
Čokoladica ŠTARK Bananica 60g,"54,99","54,99","58,99","49,99","49,99","49,99",-
Čokoladica ŠTARK čoko bananica 30g,-,"24,99","18,99","21,99","21,99","21,99",-
Čokoladica ŠTARK Sweeet lešnik 38g,"34,99",-,"42,99","42,99","41,99","34,99",-
Čokoladica ŠTARK Za-za 25g,-,"30,99","27,99","25,99","27,99","27,99",-
Čokoladica TOBLERONE 35g,"104,99","104,99","92,99","92,99","94,99",-,-
Čokoladica Twix White 46g,"49,99","66,99","68,99","59,99","60,99","49,99",-
Čokoladna jaja VESELA JAJA 120g Vitaminka,"234,99",-,-,-,"213,99",-,-
Čokoladna jaje FERRERO Disney 20g,"99,99",-,-,"114,99",-,"99,99",-
Štanglica BONŽITA brusnica 20g,"34,99",-,"35,99",-,-,"34,99",-
Štanglica BONŽITA kajsija 25g,"34,99","42,99","35,99","41,99","34,99","34,99",-
Štanglica BONŽITA suvo grožđe 20g,"34,99","42,99","35,99","39,99","34,99","34,99",-
Štanglica PIONIR Vitanova brusnica 25g,"42,99","42,99","36,99","38,99",-,"38,99",-
Štanglica PIONIR Vitanova kajsija 20g,"32,99","29,99","29,99","29,99",-,"29,99",-
7 DAYS Bake rolls Bacon 160g,"174,99",-,-,-,-,"159,99",-
7 DAYS Bake rolls Bran pizza 160g,-,-,-,-,-,"159,99",-
7 DAYS Bake rolls Garlic 160g,-,"173,99",-,"144,99",-,"159,99",-
7 DAYS Bake rolls Salt 160g,"174,99","173,99",-,"144,99","149,99","159,99",-
Brusket MARETTI paradajz dvopek 70g,"97,99","79,99","79,99","69,99","83,99","84,99",-
Brusket MARETTI pizza dvopek 70g,"97,99","79,99","79,99","69,99",-,"84,99",-
Brusket MARETTI sweet chilli 70g,-,"79,99","79,99","69,99",-,"84,99",-
Sos MEXICANA bbq sauce 300g,"209,99",-,-,-,-,"204,99",-
Sos MEXICANA salsa mild 300g,"184,99",-,"213,99",-,"228,99","184,99",-
CHIPS WAY slani 150g,"144,99","114,99",-,"133,99","132,99","134,99",-
CHIPS WAY slani 40g,"52,99","51,99","45,99","47,99","46,99","49,99",-
Čips MARBO Chipsy domaćinski 60g,"92,99","69,00","64,99","64,00","74,99","84,99",-
Čips MARBO Chipsy domaćinski feta 60g,"92,99","69,00","64,99","64,00","74,99","84,99",-
Čips MARBO Chipsy Oven yoghurt&herbs 125g,"164,99",-,"148,99",-,"142,99","149,99",-
DORITOS Hot corn 100g,"132,99","124,99","129,99","119,99","134,99","119,99",-
DORITOS Taco 100g,"132,99","124,99","129,99","118,99","134,99","119,99","109,99"
MARBO Chipsy Classic 150g,"162,99","154,99","157,99","139,99","124,99","154,99","139,99"
MARBO Chipsy Classic 90g,"117,99","115,99","84,99","96,99","106,99","109,99",-
MARBO Chipsy Rebrasti Pizza 40g,"62,99","59,99","54,99","52,99","54,99",-,-
MARBO Chipsy Rebrasti XL 95g,"117,99","115,99","84,99","99,99","106,99","109,99",-
PRINGLES hot & spicy 165g,"269,99","284,99","339,99","254,99","354,99","269,99",-
PRINGLES original 40g,"159,99",-,-,"130,99",-,"139,99",-
PRINGLES sour cream & onion 165g,"269,99","284,99","339,99","239,99","354,99","269,99",-
CHIPS WAY Gricko 100g,"96,99","96,99","79,99","89,99","98,99","89,99",-
CHIPS WAY Gricko kakao karamel 50g,-,-,-,-,-,"42,99",-
Flips DUMBO 90g,"69,99","66,99","60,99","59,99",-,-,-
Flipsi CLIPSY Max Sweet Chilli 25g,"42,99",-,"38,99","37,99",-,"27,99",-
MALTESERS 37g,"77,99",-,-,-,"65,99","69,99",-
MARBO Clipsy Cheese 100g,"79,99","118,99","96,99","102,99","96,99","79,99",-
MARBO Clipsy Hot dog 90g,"79,99",-,"96,99","104,99","96,99","79,99",-
MARBO Clipsy MIX II 70g,"69,99","69,99","57,99","50,99",-,"59,99",-
MARBO Clipsy MIX IV 65g,"69,99",-,"57,99","50,99","58,99","59,99",-
MARBO Clipsy Peanut 40g,"19,99","29,99","24,99","26,99","24,99","19,99",-
ŠTARK Čoko smoki 40g,"54,99","54,99","39,99","48,99","45,99","48,99",-
ŠTARK Smoki 150g,"84,99","94,99","104,99","84,99","108,99","84,99",-
ŠTARK Smoki 50g,"44,99","44,99","34,99","39,99","34,99","40,99",-
ŠTARK Smoki i tortilja chilly 150g,-,-,-,-,-,"144,99",-
ŠTARK Smoki i tortilja classic 150g,"165,99",-,-,-,-,"144,99",-
STOBI čoko flips 30g,"37,99",-,"35,99",-,-,"37,99",-
Kokice MARBO Clipsy 100g,"109,99","108,99","99,99","99,99","79,99","99,99",-
Kokice MARBO Clipsy piletina 100g,-,"109,99","99,99","96,99","79,99","99,99",-
Kokiriki MARBO Clipsy 100g,-,-,-,-,-,"99,99",-
Krekeri BAMBI JOŠ 140g,-,"54,99","45,99","49,99",-,"49,99",-
Krekeri JAFFA Tak classic 200g,"114,99","113,99","99,99","100,99","98,99","104,99",-
Krekeri TRIKER sir 90g,-,-,"64,99","64,99",-,"64,99",-
Krekeri TUC Original 100g,"84,99","59,00","72,99","54,00","75,99","79,99",-
Krekeri TUC Sir 100g,"79,99","79,99",-,"54,00","75,99","74,99",-
Krekeri TUC sour cream & onion 100g,"79,99","79,99","72,99","54,00","75,99","74,99",-
Grickalice BAMBI Party Mix 4 you JOŠ 380g,"109,99","158,99","155,99","139,99","138,99","109,99",-
Grickalice BANINI Trik MIX 300g,"154,99",-,"123,99","134,99","119,99",-,-
Grickalice JUMBO Energy mix 75g,"169,99","217,99","193,99","194,99","197,99","169,99",-
Grickalice JUMBO Koktel mix 75g,"159,99","169,99","159,99","149,99","139,99","159,99",-
Grickalice JUMBO Studentski mix 75g,"129,99","139,99","150,99","125,99","119,99","129,99",-
Perece BAMBI JOŠ 180g,"99,99",-,"81,99",-,"77,99","79,99",-
Perece MARBO Pardon 95g,"52,99","39,99","44,99","37,99","47,99",-,"37,99"
Ribice BAMBI Ribice JOŠ 180g,"99,99","99,99","96,99","79,99","77,99",-,-
Ribice BAMBI Ribice JOŠ 90g,"57,99","57,99","54,99","49,99","43,99","49,99",-
Ribice MARBO Pardon 90g,"57,99","44,99","44,99","37,99","48,99",-,-
Štapići BANINI sa kikirikijem TRIK 45g,"29,99",-,"26,99",-,"24,99","24,99",-
Štapići BANINI Trik 200g,"87,99","82,99","70,99","69,99","70,99","62,99",-
Štapići BANINI Trik sa kikirikijem 150g,"84,99","79,99","66,99","69,99","65,99","69,99",-
Štapići MARBO Pardon 40g,"26,99","24,99","25,99","20,99","18,99","20,99",-
Štapići MARBO Pardon sa kikirikijem 120g,"78,99","72,99","76,99","68,99","73,99","74,99","60,99"
Štapići ŠTARK Prima 220g,"57,99","79,99","61,99","74,99","70,99","57,99",-
Štapići ŠTARK Prima 95g,"32,99","44,99","27,99","36,99","36,99","32,99",-
Štapići ŠTARK Prima sa kikirikijem 230g,"89,99",-,"79,99","97,99","96,99","89,99",-
Biskit JAFFA Choco 155g,"94,99","89,99","116,99","84,99","83,99","94,99",-
Biskvit 7 DAYS Cake bar Cocoa strawberry 32g,"49,99","49,99","37,99","41,99",-,-,-
Biskvit 7 DAYS Cake bar kakao 32g,"49,99","50,99","37,99","41,99",-,-,-
Biskvit BANINI Noblice 125g,"79,99","76,99","78,99","72,99","59,99","72,99",-
Biskvit BANINI Noblice cremoso 190g,"139,99","139,99","91,99","114,99","89,99","124,99",-
Biskvit BANINI Noblice lešnik 167g,"139,99","139,99","91,99","106,99","89,99","124,99",-
Biskvit BANINI Toto kakao 260g,"124,99","164,99","143,99","146,99","134,99","124,99",-
Biskvit BARNI choco 150g,"249,99","247,99","220,99","229,99","218,99","229,99",-
Biskvit BARNI mlečni 150g,"249,99","247,99","220,99","219,99","214,99","219,99",-
Biskvit JAFFA Cakes mini pomorandža 150g,"89,99",-,"101,99",-,"94,99","89,99",-
Biskvit JAFFA Cakes pomorandža 300g,"199,99","196,99","159,00","174,99","178,99","179,99",-
Biskvit JAFFA Munchmallow 210g,"189,99","159,99","139,99","149,99","139,99","169,99",-
Biskvit KINDER cards 128g,"259,99","314,99","291,99","299,99","309,99","259,99",-
Biskvit MILKA biskvit malina 147g,"99,99","119,00","132,99","109,00","140,99",-,-
Biskvit MILKA cake & choco 175g,"204,99","202,99","129,99","184,99",-,"184,99",-
Biskvit MILKA choco cow 120g,"159,99","158,99","132,99","129,99","99,99","129,99",-
Biskvit MILKA sensation 156g,"249,99",-,"214,99",-,"205,99","224,99",-
Biskvit SWISSLION Eurobiscuit pomorandža 125g,"148,99",-,"114,99",-,-,"134,99",-
Biskvit SWISSLION Išleri + Eurocrem 125g,"144,99","109,99","128,99","104,99","136,99","119,99",-
Biskvit SWISSLION Choco 125g,"119,99","173,99","151,99","149,99","161,99","119,99",-
Keks Bambi PLAZMA 150g,"119,99","114,99","119,99","114,99","113,99","114,99",-
Keks Bambi PLAZMA 600g,"429,99","419,99","399,99","384,99","318,99","379,99",-
Keks Bambi PLAZMA Diet 150g,"159,99","138,99","139,99","124,99",-,"124,99",-
Keks Bambi PLAZMA Mlevena 2kg,"1.649,99","1.574,99","1.468,99","1.419,00","999,99","1.419,99",-
Keks Bambi PLAZMA Mlevena 800g,"459,99","608,99","479,99","573,99","550,99","459,99",-
Keks Bambi PLAZMA Posna Mlevena 300g,-,"230,99","249,99","229,99","239,99","214,99",-
Keks Bambi PLAZMA slana mediteran 140g,-,"142,99","123,99","132,99","129,99","132,99",-
Keks Bambi ZLATNI PEK 100g,"37,99","34,99","30,00","32,99","34,99","32,99",-
Keks Bambi ZLATNI PEK 750g,"212,99","209,99","196,99","189,99","177,99","179,99",-
Keks Bambi ZLATNI PEK Kakao 250g,"94,99","94,99","87,99","79,99","76,99","79,99",-
Keks Bambi ZLATNI PEK Mleveni 285g,"134,99",-,"112,99",-,"118,99","124,99",-
Keks BANINI Domaćica čokolada 550g,"244,99","236,99","220,99","224,99","220,99","224,99",-
Keks BANINI Domaćica Tart kajsija 210g,"157,99","109,00","125,99","95,00","125,99","144,99",-
Keks BELVITA chocolate 225g,"187,99","187,99","156,99","164,99","146,99","164,99",-
Keks BELVITA honey & nut 225g,"187,99","187,99","156,99","164,99","146,99","164,99",-
Keks CAPTAIN RONDO Cacao 500g Sondey,-,-,-,-,-,-,"179,99"
Keks JAFFA O'cake classic 115g,"89,99","89,99","71,99","66,99","72,99","77,99",-
Keks JAFFA O'cake kakao i pomorandža 145g,"129,99","129,99","107,99","109,99","109,99","114,99",-
Keks NEO Cacao 180g Sondey,-,-,-,-,-,-,"119,99"
Keks Nutella B-ready T2 44g,"129,99",-,"108,99","117,99","114,99","117,99",-
Keks O'CAKE brusnica 152g,"129,99","129,99","107,99","109,99","109,99","114,99",-
Keks OREO 176g,"189,99","139,99","183,99","125,99","119,99","169,99",-
Keks OREO brownie 154g,"189,99",-,-,-,"119,99",-,-
Keks OREO mleveni 300g,"224,99",-,"203,99","209,99","159,99",-,-
Keks PIONIR Cookies čokolada 125g,"139,99",-,"119,99","117,99",-,"104,99",-
Keks PLAZMA čoko mini mini 170g,"199,99","198,99","170,99","174,99","160,99","174,99",-
Keks PLAZMA mini mini 200g,"199,99",-,"170,99",-,"164,99","174,99",-
Keks PLAZMA mini mini čoko jagoda milshake 170g,"199,99","199,99","170,99","174,99","164,99","174,99",-
Keks PLAZMA plus čokolada 100g,"124,99","124,99","100,99","109,99","89,99","109,99",-
Keks SONDEY Captain Rondo Vanila 500g,-,-,-,-,-,-,"179,99"
Keks ŠTARK Čajni kolutići 800g,"274,99","259,99","268,99","256,99","259,99","257,99",-
Keks ŠTARK Duet keksići čokolada i lešnik 220g,-,-,-,"120,99","122,99","119,99",-
Keks ŠTARK Integrino classic 185g,"109,99",-,"91,99","94,99","79,99","92,99",-
Keks ŠTARK Integrino jabuka cimet 185g,-,-,-,-,-,"89,99",-
Keks ŠTARK Keksići kakao 220g,"109,99","109,99","89,99","107,99","94,99","107,99",-
Keks ŠTARK Keksići narandža 220g,"134,99","128,99","89,99","122,99","94,99","122,99",-
Keks ŠTARK Petit Beurre 500g,-,"237,99","216,99","224,99","216,99","224,99",-
Keks ŠTARK Piškote 210g,"162,99","161,99","114,99","147,99","142,99","139,99",-
Keks SWISSLION Bevita mleveni keks 300g,"239,99","239,99",-,"199,99","119,99","199,99",-
Keks WELLNESS Čokolada 210g,"149,99","148,99","104,99","124,99","115,99","109,99",-
Keks WELLNESS kakao kajsija 150g,-,-,-,"119,99",-,-,-
Keks WELLNESS Lešnik 210g,"149,99","148,99","125,99","118,99","119,99",-,-
Keks WELLNESS Ovsene pahuljice 210g,"119,99","118,99","84,99","99,99","109,99","99,99",-
Keks WELLNESS sa sa kokosom 210g,"119,99","118,99","106,99","95,99","109,99","99,99",-
Keks PREMIA posni 750g,-,"139,99",-,"134,99",-,-,-
Medenjaci PIONIR Medeno srce 150g,"142,99","109,99","124,99","95,99","128,99","109,99",-
Medenjaci PIONIR Medeno srce i drugari 150g,-,-,"127,99","119,99",-,-,-
Medenjaci PIONIR Medeno srce višnja 150g,"142,99","109,99",-,"95,99",-,"119,99",-
Medenjaci PREMIA Glazirani 300g (Ondina),-,"239,99",-,"229,99",-,-,-
Medenjak ONDINA 400g,"277,99",-,-,-,"249,99",-,-
Medenjak ONDINA glazirani 400g,"374,99",-,-,-,"306,99",-,-
Medenjak ONDINA Medi pomorandža 250g,"254,99",-,-,-,"237,99","219,99",-
Štrudla MEDELA Brownie malina 240g,"159,99",-,"129,99","154,99","147,99","149,99",-
Štrudla MEDELA Brownie šumsko voće 240g,"159,99","156,99",-,"154,99","147,99",-,-
Štrudla MEDELA jagoda i vanila 240g,"134,99","154,99","99,99","139,99","129,99","129,99",-
Štrudla MEDELA mešano voće 120g,-,-,-,"84,99",-,-,-
Štrudla MEDELA mešano voće 360g,"167,99",-,-,"139,99","186,99","167,99",-
Štrudla MEDELA smokva 240g,"134,99","154,99","99,99","134,99","133,99","109,99",-
Štrudla MEDELA višnja 240g,"134,99",-,"99,99",-,"133,99","129,99",-
Krem CIPIRIPI 400g,"369,99","366,99","327,99","349,99","349,99","299,99",-
Krem CIPIRIPI nugat 400g,"379,99",-,"327,99","359,99","349,99","339,99",-
Krem FERRERO Nutella 200g,"339,99","339,99","295,99","299,99","297,99","299,99",-
Krem FERRERO Nutella 700g,"509,99","699,99","649,99","599,99","618,99","509,99",-
Krem FINETTI štapići lešik sa igračkom 45g,-,-,"158,99","189,99",-,"249,99",-
Krem PODRAVKA Lino Lada 350g,"459,99","459,99","299,99","384,99","299,99","409,99",-
Krem PODRAVKA Lino Lada bela 750g,"859,99","619,00","781,99","539,00",-,"829,99",-
Krem PODRAVKA Lino Lada Gold 350g,"459,99","459,99","299,99","384,99","299,99","409,99",-
Krem PODRAVKA Lino Lada nugat 350g,"459,99","459,99","299,99","365,99",-,"409,99",-
Krem STEVIA LINE lešnik 250g,"539,99","558,99",-,"563,99",-,"517,99",-
Krem TAKOVO Eurocrem 1kg,"649,99","779,99","824,99","669,99","796,99","649,99",-
Krem TAKOVO Eurocrem 200g,"194,99","222,99","192,99","211,99","201,99","194,99",-
Krem TAKOVO Eurocrem 500g,"369,99","435,99","434,99","399,99","418,99","369,99",-
Krem TAKOVO Eurocrem 800g,"734,99",-,-,"705,99","701,99","719,99",-
Krem TAKOVO Eurocrem Plus 350g,"269,99",-,"351,99","421,99",-,"269,99",-
Krem TAKOVO Eurocrem Plus lešnik 350g,"269,99",-,"351,99","421,99",-,"269,99",-
MILKA krem lešnik 350g,-,"384,99","360,99","364,99","369,99","364,99",-
PIONIR Cica maca krem 500g,"359,99",-,-,"339,99",-,"339,99",-
Krem CHOCO NUSSA Duo 13% lešnik 750g,-,-,-,-,-,-,"379,99"
Krem MISTER CHOC Duo krem 5% lešnika 1kg,-,-,-,-,-,-,"349,99"
Krem MISTER CHOC kakao i lešnik namaz 750g,-,-,-,-,-,-,"299,99"
AFRODITA multiaktivna hranljiva krema 50ml,"799,99","787,99","733,99","749,99",-,-,-
BOTANICA Regener krema 50ml,"189,99",-,"162,99",-,-,-,-
MIXA Hyalurogel Light krema 50ml,"629,99","919,99","827,99","649,99","780,99","629,99",-
MULTIACTIV Freshness 24h hidratantna krema 50ml,"469,99",-,"421,99","429,99",-,-,-
MULTIACTIV Natural Balance krema 50ml,"469,99",-,"421,99","429,99",-,-,-
BIOTEN Hyaluronic gold dnevna krema 50ml,"1.349,00",-,"1.208,99","1.239,99",-,-,-
BIOTEN Multi Collagen krema 50ml,"1.079,00",-,"967,99","1.019,00",-,-,-
L'OREAL Age Specialist krema 65+ 50ml,"599,99",-,"631,99","579,99","735,99","599,99",-
L'OREAL Revitalift krema protiv bora 50ml,"869,99",-,"1.287,99","1.144,00",-,"869,99",-
NIVEA krema protiv bora 45+ 50ml,"619,99",-,"827,99","569,00",-,"619,99","549,99"
NIVEA krema protiv bora 55+ 50ml,"619,99","1.235,99","827,99","699,00",-,"619,99","549,99"
NIVEA Q10 intensivcreme Energy 300ml,"1.009,00","1.039,99",-,"961,99",-,-,-
NIVEA Visage Q10+ lagana krema 50ml,"1.099,00",-,-,"879,00",-,"1.099,00",-
GARNIER Botanical za normalnu i masnu kožu 50ml,-,-,-,"469,99",-,-,-
NIVEA moisturizing krema 50ml,"619,99","549,99",-,"549,00",-,"619,99",-
BIOTEN Skin Moisture za suvu kožu 50ml,"639,99",-,-,"539,99",-,-,-
MIXA Oil-Rich krema 50ml,"649,99",-,"855,99","649,99",-,"649,99",-
NIVEA Essentials krema 50ml,"619,99",-,"824,99","529,00",-,"619,99",-
L'OREAL Revitalift Filler X3 krema 50ml,"1.299,00",-,"1.908,99","1.839,99",-,"1.299,00",-
BIOTEN Detox noćna krema 50ml,-,-,-,"579,99",-,-,-
BIOTEN hyaluronic protiv bora 35-45 50ml,"829,99",-,-,"730,99",-,"699,99",-
L'OREAL Age specialist 35+ krema 50ml,"599,99",-,"631,99","795,99",-,"599,99",-
L'OREAL Age specialist 55+ krema 50ml,"599,99",-,"592,99","599,99","735,99","599,99",-
L'OREAL Revitalift Filler krema 50ml,"1.299,00",-,-,"1.899,99",-,"1.299,00",-
NIVEA Q10 plus anti-wrinkle krema 50ml,"1.099,00","949,99","1.473,99","849,00",-,"1.099,00",-
